School_x,business_school,Acceptance Rate,Average Salary,Public(0) or Private(1),Reputation Score,Alumni,Tuition_Fees_17&18,Distance to Nearest City (Miles)
University of Wisconsin-Madison,Wisconsin,0.35,58603,0,4.0,45593.0,22658.0,75.62922141
Lehigh University,Lehigh,0.2239,66598,1,3.2,80000.0,50740.0,46.38625068
University of Illinois at Champaign-Urbana (Gies),Gies,0.4898,63079,0,,70000.0,26006.0,112.3398788
University of Pittsburgh,Pittsburgh,0.44,54370,0,3.6,,24861.0,256.0068537
Hult International Business School,Hult International,0.5,34708,1,,,38584.0,0.984505292
University of San Diego,San Diego,0.53,57119,1,,70000.0,47708.0,4.191835257
Christopher Newport University,Christopher Newport,0.746,48000,0,,,19752.0,130.5354787
Providence College,Providence,0.51,57174,1,,,48764.0,40.55553764
James Madison University,James Madison,0.6831,58257,0,,,19030.0,104.2818421
University of Akron,Akron,0.7399,42651,0,,25000.0,14535.5,109.7508087
Florida Southern College,Florida Southern,0.5,43366,1,,,34774.0,159.3775249
Lipscomb University,Lipscomb,0.61,46875,1,,,30932.0,4.057080864
University of North Carolina-Wilmington,North Carolina-Wilmington,0.61,44507,0,,89500.0,14032.5,182.8347571
Ithaca College,Ithaca,0.8018,50649,1,,61000.0,42884.0,174.8646125
Northern Illinois University,Northern Illinois,0.5384,51120,0,,50000.0,19058.0,58.85659217
University of Michigan-Dearborn,Michigan-Dearborn,0.62,49507,0,,575000.0,18754.0,9.594291847
Duquesne University (Palumbo-Donahue),Palumbo-Donahue,0.76,50592,1,,,14825.0,72.27533867
Bowling Green State University,Bowling Green,0.7,53300,0,,31000.0,48484.0,328.7103074
University of Miami,Miami,0.3044,60801,1,3.4,40000.0,36332.0,339.4025534
Brigham Young University (Marriott),Marriott,0.6316,55148,1,3.6,63000.0,21863.5,29.89049058
The College of New Jersey,TCNJ,0.41,58000,0,,80000.0,21912.0,85.62486297
University of South Carolina (Darla Moore),Darla Moore,0.651,61946,0,3.6,48000.0,23155.0,36.64928045
University of Delaware (Lerner),Lerner,0.464,54087,0,,34400.0,18146.5,335.2036801
University of Missouri-Columbia (Trulaske),Trulaske,0.6917,48827,0,3.2,32000.0,42166.0,232.2098889
St. Louis University (Chaifetz),Chaifetz,0.8303,63333,1,,25625.0,39820.0,53.21461039
Sacred Heart University (Jack Welch),Jack Welch,0.608,54784,1,,,36394.0,257.6815621
